participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,correct_button,response_window,inter_time_interval,late_response,response_time
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,11,0,280,500,1,284.775972366333
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,11,0,,,,
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,12,1,320,500,0,225.86095333099365
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,12,1,490,500,0,272.60398864746094
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,13,1,310,500,0,275.97498893737793
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,13,1,480,500,0,222.77605533599854
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,14,1,300,500,0,208.077073097229
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,14,0,470,500,1,28.91397476196289
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,15,0,,,,
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,15,0,,,,
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,16,0,280,500,1,N/A
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,16,1,510,510,0,150.94006061553955
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,17,0,,,,
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,17,0,,,,
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,18,1,320,500,0,256.9350004196167
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,18,0,,,,
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Left,19,1,310,500,0,212.92006969451904
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,19,0,,,,
ADMIN-UCSF-BK007,2018-01-30 21:10:59+00:00,2018-02-02 21:20:48+00:00,,Right,20,1,500,510,0,359.0559959411621
ADMIN-UCSF-BK008,2018-01-30 21:30:59+00:00,2018-02-02 21:20:48+00:00,,Left,0,1,500,500,0,377.38895416259766
