participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,flanking_cue,response_window,response_time,first_button,correct_button,trial_type,second_button,late_response,displayed_cue
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,10,B,860,855.2190065383911,NO,0,CONGRUENT,YES,0,B
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,11,A,900,633.1440210342407,YES,1,CONGRUENT,NO,0,A
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,12,C,890,515.667974948883,NO,1,CONGRUENT,YES,0,C
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,13,D,680,601.73100233078,YES,1,INCONGRUENT,NO,0,A
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,14,C,880,565.574049949646,NO,1,CONGRUENT,YES,0,C
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,15,D,670,439.4490122795105,YES,1,INCONGRUENT,NO,0,A
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,16,A,660,718.172013759613,NO,1,INCONGRUENT,YES,1,D
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,17,D,650,576.4679908752441,YES,1,INCONGRUENT,NO,0,B
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,18,D,640,448.19700717926025,NO,0,INCONGRUENT,YES,0,B
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,19,B,860,641.4870023727417,YES,1,CONGRUENT,NO,0,B
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,20,A,680,770.5909609794617,NO,1,INCONGRUENT,YES,1,D
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,21,D,820,619.8790073394775,NO,1,CONGRUENT,YES,0,D
ADMIN-UCSF-BK004,2017-10-16 21:04:18+00:00,2017-10-19 21:30:24+00:00,,,22,A,740,422.97202348709106,YES,1,CONGRUENT,NO,0,A
