participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,position_is_top,correct_button,response_window,late_response,response_time
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,7,1,0,940,0,315.75697660446167
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,7,0,0,720,1,743.1510090827942
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,8,0,1,2310,0,1312.7689957618713
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,8,1,1,1120,0,951.5209794044495
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,8,1,1,980,0,393.49597692489624
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,8,0,1,760,0,684.2769980430603
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,9,1,1,2300,0,973.9400148391724
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,9,0,1,1100,0,882.739007472992
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,9,1,1,970,0,735.1660132408142
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,9,0,0,750,1,793.0650115013123
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,10,0,1,2290,0,1008.059024810791
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,10,0,0,1060,0,1029.397964477539
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,10,1,1,960,0,620.5019950866699
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,10,1,1,790,0,608.6139678955078
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,11,0,0,2270,0,840.1989936828613
