participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,response_time,response_window,trial_accuracy,position_is_top,correct_button,late_response
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,37,403.63603830337524,420,False Alarm,0,0,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,38,0,320,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,38,357.0869565010071,460,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,39,0,320,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,39,351.96101665496826,450,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,0,0,600,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,0,269.04797554016113,600,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,1,460.07299423217773,600,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,1,411.5530252456665,590,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,2,497.9510307312012,590,False Alarm,0,0,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,2,401.8139839172363,580,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,3,594.0430164337158,630,False Alarm,0,0,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,3,443.2249665260315,560,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,4,0,670,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,4,275.4790186882019,520,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,5,0,670,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,5,0,440,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,6,0,670,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,6,0,440,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,7,308.28696489334106,670,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,7,473.91003370285034,440,Miss,1,0,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,8,0,660,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,8,N/A,480,Miss,1,0,1
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,9,444.52500343322754,660,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,9,461.82799339294434,520,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,10,0,650,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,10,429.3510317802429,510,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,11,0,650,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,11,381.0009956359863,500,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,12,0,650,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,12,0,480,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Impulsive,13,510.8709931373596,650,Hit,1,1,0
ADMIN-UCSF-BS004,2017-12-08 21:33:17+00:00,2017-12-12 17:39:05+00:00,,Sustained,13,295.5300211906433,480,Hit,1,1,0
